"stop_id","stop_code","stop_name","stop_lat","stop_lon","location_type","parent_station","wheelchair_boarding","zone_id"
"111","3","Americká","50.7579154968262","15.0339202880859","1","","2","1"
"9611","4","Baltská","50.7819976806641","15.0706462860107","1","","2","1"
"5411","5","Nám.Dr.E.Beneše","50.7700958251953","15.0584173202515","1","","2","1"
"10011","6","Blanická","50.794849395752","15.0722551345825","1","","2","1"
"4311","7","Broumovská","50.7598457336426","15.0635099411011","1","","2","1"
"10911","8","Březová alej","50.7742576599121","15.0853452682495","1","","2","1"
"10111","9","Kateřinky křižovatka","50.7969131469727","15.0896816253662","1","","2","1"
"11411","10","Čechova","50.7550621032715","15.0551929473877","1","","2","1"
"2011","11","České mládeže","50.7434463500977","15.0313034057617","1","","2","1"
"22611","12","Malodoubská","50.7438201904297","15.0250663757324","1","","1","1"
"7211","13","Českolipská","50.7746887207031","14.99294090271","1","","2","1"
"5011","14","Dobiášova","50.7518997192383","15.0639410018921","1","","2","1"
"22511","15","Dolní Hanychov","50.7473220825195","15.0280675888062","1","","1","1"
"13911","16","Dopravní hřiště","50.7766876220703","15.0536041259766","1","","2","1"
"11911","17","Doubí mlýn","50.7398452758789","15.0561656951904","1","","2","1"
"12011","18","Doubí pošta","50.734806060791","15.0570192337036","1","","2","1"
"12911","19","Doubí sídliště","50.7371368408203","15.0535745620728","1","","2","1"
"12111","20","Doubí obilná","50.7302551269531","15.0546894073486","1","","2","1"
"5711","21","Dožínková","50.7741012573242","15.0442485809326","1","","2","1"
"2911","23","Školní","50.7657203674316","15.0755920410156","1","","2","1"
"10411","24","Rudolfov elektrárna","50.7947845458984","15.1090469360352","1","","2","1"
"1411","26","Františkov sídliště","50.7603187561035","15.0316925048828","1","","2","1"
"1311","27","Františkov škola","50.7618370056152","15.0354595184326","1","","2","1"
"911","28","Fügnerova","50.765510559082","15.0573740005493","1","","1","1"
"20711","29","Garáže ČSAD","50.7451629638672","15.0511112213135","1","","2","1"
"22711","30","Hanychov kostel","50.741024017334","15.0207004547119","1","","1","1"
"7711","31","Hamrštejn","50.7841110229492","14.9765958786011","1","","2","1"
"8611","32","Harcov kostel","50.7658233642578","15.0999603271484","1","","2","1"
"8911","33","Harcov Myslivna","50.7582702636719","15.1168670654297","1","","2","1"
"11211","34","Harcov Střelnice","50.7778167724609","15.1030826568604","1","","2","1"
"10511","35","Rudolfov has.zbroj.","50.7910041809082","15.1126403808594","1","","2","1"
"18711","36","Hlávkova","50.7858924865723","15.06321144104","1","","2","1"
"22911","37","Horní Hanychov","50.7376594543457","15.0125932693481","1","","1","1"
